row_index,source_name,true_label,pred_label,confidence,period,amplitude,ra_deg,dec_deg,simbad_id,simbad_otype,vsx_name,vsx_type,vsx_period,asassn_name,asassn_type,asassn_period,asassn_amp,gcvs_name,gcvs_type,gcvs_period,pred_broad,true_broad,vsx_broad,asassn_broad,simbad_broad,n_confirm_pred,n_confirm_true,final_verdict
709679,ASASSN-V J214758.85+593543.4,DSCT,EW,0.988061,0.2691081412302286,0.6850000000000005,326.995208,59.595389,ATO J326.9946+59.5950,EB*,WISE J214758.7+593542,EW,0.3497324,J214758.85+593543.4,HADS,0.1748628,0.26,,,,EB,DSCT,EB,DSCT,EB,2,1,MODEL_LIKELY_CORRECT
711636,ASASSN-V J041430.22+500836.6,DSCT,EW,0.988017,0.2787641968874282,0.7170000000000005,63.625917,50.1435,ATO J063.6260+50.1433,EB*,ZTF J041430.25+500836.1,EW,0.3577828,J041430.22+500836.6,HADS,0.1788899,0.33,,,,EB,DSCT,EB,DSCT,EB,2,1,MODEL_LIKELY_CORRECT
174908,ASASSN-V J085310.67-685202.7,ROT,SR,0.987995,60.3881755364707,0.2959999999999994,133.294458,-68.867417,2MASS J08531050-6852033,LP*,ASAS J085311-6852.1,MISC,116.1,J085310.67-685202.7,ROT,60.47097,0.17,,,,LPV,ROT,MISC,ROT,LPV,1,1,CONFLICTING
454705,ZTFJ212800.50+300158.6,EW,SR,0.987991,82.07561698113183,1.5719999999999992,322.002083,30.032944,ATO J322.0020+30.0329,LP*,ASASSN-V J212800.50+300158.6,L,,J212800.50+300158.6,L,,0.69,,,,LPV,EB,LPV,LPV,LPV,3,0,MODEL_LIKELY_CORRECT
533633,ASASSN-V J183623.65+154735.7,EW,RRC,0.987982,0.3411046103298328,0.6849999999999987,279.098542,15.79325,ATO J279.0984+15.7932,RR*,PS1-3PI J183623.63+154735.7,RRC,0.3411,J183623.65+154735.7,EW,0.6821938,0.46,,,,RR,EB,RR,EB,RR,2,1,MODEL_LIKELY_CORRECT
519679,ASASSN-V J150120.10+763453.7,EW,RRC,0.987945,0.3581243307970367,1.596,225.33375,76.581583,Gaia DR3 1701932060065636224,RR*,PS1-3PI J150120.02+763454.0,RRC,0.358136,J150120.10+763453.7,EW,0.7162502,0.65,,,,RR,EB,RR,EB,RR,2,1,MODEL_LIKELY_CORRECT
7718,ASASSN-V J160836.20-392623.5,RRC,EW,0.987861,0.2081463500459249,0.3199999999999985,242.150833,-39.439861,Gaia DR3 5997021023921099648,EB*,WISE J160836.1-392623,EW,0.4167704,J160836.20-392623.5,RRC,0.208145,0.23,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
706274,ASASSN-V J170820.76-585729.8,DSCT,EW,0.987817,0.1602345601824261,0.5470000000000006,257.0865,-58.958278,Gaia DR3 5915102322406891776,EB*,ASASSN-V J170820.94-585730.2,HADS,0.160234,J170820.76-585729.8,HADS,0.1602338,0.29,,,,EB,DSCT,DSCT,DSCT,EB,1,2,CONFLICTING
2887,ASASSN-V J115853.23-673808.2,RRC,EW,0.987724,0.2192259249244101,0.26399999999999935,179.721792,-67.635611,Gaia DR3 5236007863387008256,EB*,WISE J115853.3-673805,EW,0.4384426,J115853.23-673808.2,RRC,0.219221,0.19,,,,EB,RR,EB,RR,EB,2,1,MODEL_LIKELY_CORRECT
370977,ASASSN-V J171744.49+153140.2,EW,RRC,0.987623,0.333786776958016,1.0500000000000007,259.435375,15.527833,ATO J259.4354+15.5279,RR*,PS1-3PI J171744.49+153140.4,RRC,0.333784,J171744.49+153140.2,EW,0.6675764,0.57,,,,RR,EB,RR,EB,RR,2,1,MODEL_LIKELY_CORRECT
11854,ASASSN-V J180847.96-485050.0,RRC,EW,0.987527,0.2094230734867246,0.3569999999999993,272.199833,-48.847222,Gaia DR3 6706379501838564224,EB*,ASASSN-V J180848.01-485049.3,RRC,0.209423,J180847.96-485050.0,RRC,0.2094232,0.18,,,,EB,RR,RR,RR,EB,1,2,CONFLICTING
167273,ASASSN-V J195306.19+463157.8,ROT,SR,0.987473,94.61608268156668,0.28800000000000026,298.275792,46.532722,ASAS J195306+4632.0,LP*,ASAS J195306+4632.0,LPV,97.5,J195306.19+463157.8,ROT,93.41614,0.17,,,,LPV,ROT,LPV,ROT,LPV,2,1,MODEL_LIKELY_CORRECT
